,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
NFasc,15,5,8,1,7,2,5,5,12,7,3,1,8,2,6,13,2,2,46,57,57,32,43,43,58,39,35,31,40,42,42,37,31,29,45,35,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,3
dFasc_um,"[437.21394287682614, 258.82574913412543, 307.9153014330579, 359.17397739944596, 189.0199020746804, 787.09256752987, 72.36165325332657, 305.73461161433295, 508.7452032523676, 311.11169400498363, 398.00813835685585, 289.0756218304791, 99.20253442143643, 90.00346061085027, 163.77588196015665]","[120.12238286446609, 243.86502700380925, 322.2285487261929, 643.4610587932821, 607.0383208507208]","[365.4037755654016, 284.53752037921583, 53.536132158300425, 75.64174706563747, 730.2022176961286, 225.98348880756498, 243.19529193908159, 95.62844032642997]",657.1827113056797,"[455.24233996428916, 509.9466847724346, 287.7381712556938, 249.06769796065063, 549.7258053504142, 288.3897083071457, 290.4551460364447]","[968.8828744830811, 204.86529698345961]","[219.6782211850974, 94.38546727436437, 550.4427203481569, 980.890525476842, 232.0935107738392]","[1060.537068877718, 326.60460392259876, 310.0444514043765, 421.01983742333124, 210.6072944254053]","[337.6256234720049, 141.62779031797697, 532.8055894193435, 258.2276574132698, 289.29255091694324, 560.5023545944119, 102.67591974695014, 310.06402476697764, 395.44068272686604, 348.8801195087099, 352.1060261114095, 202.6441448864074]","[143.42358541101993, 102.82738563544903, 157.58668786743075, 169.9024274668776, 83.41916522032186, 161.11055771367037, 96.22609539104621]","[168.53876312626682, 180.75354463841452, 305.85777254417354]",587.1127220174341,"[9.64389108673693, 30.468924489707202, 55.23486431846352, 438.4775525202003, 26.845881878811372, 109.41306346237221, 27.560736951997335, 31.182065152142506]","[261.02720054450333, 309.8117175786378]","[186.62180855172483, 195.2470647952959, 209.57220467106953, 153.32711570793478, 13.85990067475041, 121.69797172798842]","[197.60027463150732, 6.796613525334714, 46.92453382480241, 92.07862289480241, 117.32482413414607, 81.20196680723016, 126.35528292474882, 114.66844716467254, 68.51020396542548, 162.5776643093628, 63.18914966115792, 107.36036195497418, 66.96954385695047]","[583.8537265287099, 105.63868721617841]","[383.28128598026785, 531.8355996350125]","[218.36723791962396, 402.5479159979706, 438.55246980618944, 207.80698511830155, 274.9224220271517, 239.5265438263075, 218.98239983048126, 187.69064808138515, 171.51036163836048, 265.29701014449995, 149.2625477082578, 260.715657677454, 166.873629735529, 306.73966275964005, 106.12853873865828, 217.0741738133017, 126.11757086178373, 209.55355785861119, 223.07402386216566, 220.17031119798912, 128.04506342495583, 219.64909785308754, 190.93899193573475, 253.56310799916517, 231.70509598247781, 106.76541917467743, 176.17754390676123, 235.18886538065988, 141.43172996219602, 321.56573795820583, 78.6761669858209, 153.7056549127581, 136.2514956132174, 534.6945183716975, 102.74827462416297, 204.55311674769658, 183.39548975335035, 237.0777665772461, 195.2334777890632, 132.0843498002998, 119.62724415462623, 181.10166632262118, 261.0562394430194, 265.61695579860475, 193.6912334256921, 186.3612754082122]","[271.49658501170336, 318.63868980765454, 183.7884382060271, 99.76872095664987, 56.7340357841272, 205.61249416806726, 182.44620353122818, 266.6566299415824, 252.41140708207035, 247.1205446149926, 242.87738443942385, 153.65157826768856, 259.7623073090727, 163.4206668618074, 339.1828852078203, 289.01648179432794, 173.47949884104946, 347.5390114443184, 200.417956079154, 293.23420904841254, 336.9917768338213, 351.9681877393273, 100.31192119831726, 323.1517814510606, 208.68627214357866, 259.54224460546135, 259.4243163741861, 272.30399649711217, 236.21753136260256, 137.0380178716055, 235.37464614069236, 364.96677333986753, 280.46293504433015, 231.19988294804912, 197.42436836603582, 294.2092688510237, 326.80800509362024, 337.99211314550905, 130.0966395457724, 200.0999077120731, 107.13673819347538, 391.4123680507578, 230.02367771066685, 182.97563347515126, 322.49586435215883, 137.3063841163734, 206.39189632030894, 325.3902156487556, 172.64672024795908, 204.16369136066612, 170.48762592151795, 151.31194747778935, 176.8232876972064, 150.69948432495042, 181.27774497063402, 322.74479946839773, 252.7395724207576]","[190.92763887821354, 242.71092677600427, 457.4143135947006, 151.61185070970598, 234.90872886645457, 86.49815742028946, 217.53230864157206, 201.8020121351191, 108.09508176455284, 138.45149690492073, 181.64190756529578, 187.5409904933802, 202.65899073009936, 118.32720000757101, 162.35883449880419, 307.98656951194937, 149.25633361257226, 204.47204347262405, 261.53670635065123, 189.37363714018258, 155.70416830261803, 157.4847855057901, 138.92527081350687, 279.3287607902017, 166.27371396153217, 156.07749148588636, 161.2611576921416, 150.65502736251125, 211.97154739746293, 173.5677809501623, 245.05812633899114, 191.37332893974087, 243.14661471427567, 175.03678499935882, 361.7135899571738, 334.3662585744171, 315.5179255867182, 222.51959105730074, 138.57643025401393, 144.7861765653526, 161.0178277740154, 191.67621617408759, 245.403519463355, 172.3919518700227, 121.95589968894998, 174.31470493593918, 170.14654537942795, 119.72299234582228, 160.981636339917, 209.13265663159328, 211.30849492586023, 175.8129383519476, 425.17974898508, 186.4650591450853, 264.7136502128496, 142.10593074536627, 198.00429128824388]","[324.2150091189391, 363.8919850705074, 300.90952677908376, 406.083966996452, 235.24763052226777, 170.3364658096017, 456.21456215741756, 236.47765269326004, 304.319239156868, 327.4736388690824, 188.90952254439358, 326.19936964405827, 217.39444055008457, 70.85012379729645, 277.71768528477736, 173.77381533300746, 215.87055830074408, 80.55512638166013, 279.1490984309605, 207.19564224686007, 282.98728536060173, 192.39423830938827, 177.90747254974588, 147.18435167393318, 280.84271272797105, 215.18213121214757, 141.9305258652575, 124.35102889907219, 214.97409414885274, 141.96202184550714, 111.35121159319038, 114.70981787440503]","[226.46090681928067, 263.32164453421063, 173.35526946330427, 335.08636794980094, 353.74554061069506, 339.70838699289, 355.77875855823225, 342.13749864426995, 213.37627883187466, 153.5320794782193, 270.10011687907974, 236.77326231887795, 227.38713339942765, 188.59965250924142, 167.56187969447956, 311.41254313262885, 156.8016987124461, 213.2802436059666, 190.89226802715893, 365.4662951648245, 231.03291587716384, 553.2881453715684, 320.2559902156056, 288.9582048089885, 316.17634108712065, 250.98757716576205, 186.67597326528394, 186.59283119011283, 267.86702802814114, 348.4087785802621, 184.4902119385707, 133.28339680001756, 129.2417266776285, 64.03370823849382, 101.71347055625552, 219.81456024772197, 154.732955056597, 156.52667214071687, 184.09392461142096, 252.45584785045438, 216.50534841320658, 220.5598093498862, 293.7561331281343]","[128.60578083405713, 122.57546870942063, 84.5606969187989, 140.65406444896132, 113.11831107846669, 101.27937150098317, 100.35404946080905, 194.97063953057608, 237.6116417758913, 205.93204070739716, 239.58825905688255, 200.2255436517444, 306.94746003794995, 253.08914013871683, 219.11190632671145, 158.35980980174224, 102.76787796328479, 93.68196974460884, 189.22611958472672, 341.3315587400589, 234.93206843536484, 248.98095418331627, 264.0957535512192, 91.44448045054666, 289.23449089822856, 234.15054702314737, 242.85737609969698, 352.6942538595661, 234.95035584161897, 287.2633647072041, 105.7350175523004, 171.25872995065185, 188.00595228871092, 301.48935568987156, 219.2501101616685, 290.80018634436635, 232.93534224715384, 121.51792180760043, 256.37859288119535, 229.16651621391802, 445.50358821332173, 219.09609480893894, 276.33314231954256]","[199.06648040951225, 112.85245806292697, 177.47480621830545, 164.90907530880108, 111.59137671591769, 199.21628607239768, 185.61028566932254, 250.77987860125512, 208.94404106742547, 87.277201567238, 194.79949033251012, 135.1640505237725, 174.04950957327588, 222.3064837511621, 228.1172657416357, 177.02866096922492, 125.81368306292968, 239.24032768879974, 330.7427265841589, 315.16834847181764, 216.1724011909856, 177.43863814151084, 314.89177020592086, 211.72711202252233, 204.3197427165779, 233.08256086125635, 224.13561250485725, 295.88139356623907, 283.40062185609895, 294.449243121771, 157.45151492619462, 229.0505918138684, 269.00528686131037, 67.9092305857241, 321.47961034748994, 193.88698683727785, 236.02195724885803, 384.109539747378, 347.50027718866613, 67.80546829386752, 190.92951319548715, 185.48760342183195, 261.7374393610369, 199.4619124737181, 232.69368341224632, 140.28054944647647, 167.7450148299576, 243.43630322938537, 113.82919320772847, 230.955248793124, 163.866179886965, 162.0444730988939, 212.09880230382862, 198.12109483337605, 168.90035415685406, 363.55037061677683, 200.31735307823715, 217.6698830051971]","[233.02523743934387, 164.8800112666565, 137.21964117544903, 223.00272168000217, 167.08309786323917, 248.42251874400745, 148.6875257759401, 203.54034084438828, 103.981231330251, 260.7003575573843, 173.0966009680725, 195.5853341805632, 261.5631927972928, 217.18516382931415, 154.047901731363, 269.0393872164562, 224.07729043277902, 216.6426242907187, 268.9201389317716, 393.63875185518947, 83.54375333340519, 156.5886995799534, 295.7326690622288, 203.4794509963217, 262.8631913860733, 304.2571514259398, 252.7918126491257, 159.69272014935257, 270.8102346579141, 144.39830140852396, 282.69228927219086, 133.8557881213033, 241.152915920721, 152.7830465341236, 304.2438937266553, 223.93656745657177, 77.80672396142512, 272.7718250526936, 7.556960105343494]","[289.15631252252444, 354.31306205323017, 286.0461983263419, 293.3370465215298, 74.37945059216317, 284.59594256737665, 165.0760968693025, 214.64189219985573, 296.6038543285897, 260.7765706065083, 278.26481338335645, 243.5409547197842, 132.5304853598986, 141.25098397579725, 294.46340774852007, 251.42042285543334, 237.24515947899982, 260.3441698294702, 130.98907678171517, 157.60816455852736, 211.84680879241054, 263.3029187578007, 255.51813502588902, 271.65746980443447, 209.2780275326105, 89.7921394536842, 234.1206092253936, 261.33627954428033, 190.618576740842, 292.0783203065144, 526.0382973280101, 245.58747624883, 395.2481673071029, 341.46702773005717, 239.59527878184747]","[82.03897424123119, 73.27340929706868, 94.35820025854147, 91.58128119516859, 120.1102788615695, 116.99879050233574, 188.94791718218585, 297.0262111564207, 100.70161784215698, 103.23748197930603, 214.64425802410042, 107.42482338939892, 138.60268660944607, 103.2994971992109, 81.26780540576564, 217.63264390252263, 256.5028661158686, 147.92958437622173, 64.61625073084656, 141.62668937978333, 277.72898614033755, 225.68536435870914, 107.21490109609782, 188.72510800910874, 265.66326537312756, 51.64831800958154, 147.01267233148405, 149.0880861044807, 91.00542146620921, 205.09042247912387, 94.66468598728186]","[94.25924789771604, 168.7500661441694, 235.84557316624017, 131.06678017856305, 97.00965643904058, 138.38746918582527, 138.32051941197346, 187.24102835114763, 209.89618528090858, 78.82732113455488, 116.11472231528177, 127.64410562246354, 111.29746868078885, 59.03509509888063, 92.05879234494704, 188.27025202147254, 200.8128044147052, 136.11015720174507, 213.5304265181491, 181.40946339609746, 204.3200826795732, 276.6564173240472, 109.79643334239194, 114.33548017018975, 153.12971429978214, 179.7707992700534, 175.91779387247328, 149.9101191301111, 73.80995054749664, 163.6633551556764, 99.70501683626559, 186.92081826793972, 149.14471145969063, 202.30288615964332, 143.630055988584, 97.11917099600129, 158.12781128516232, 103.75800137135207, 94.91052942649958, 199.68310633773424]","[138.58013930057248, 177.04901896751, 133.24698777896052, 91.87280018403709, 288.1625260219926, 266.4507861509515, 139.89595114931203, 64.08014292468663, 371.8540474134067, 125.7167723192015, 103.35019812659422, 157.73305725164818, 128.93176118605933, 110.48614422653826, 136.855081074803, 185.05397092557203, 140.48673238165082, 174.89993961704587, 52.43841501767514, 107.42622153455095, 47.61118639985948, 133.32956733406996, 147.41011530234712, 164.64698988780313, 70.58461470509846, 90.49367809271818, 115.27377046387467, 195.79253701013226, 106.40531094956349, 195.6526835941965, 199.75839935623546, 84.58169778320163, 125.33795487209942, 166.95833111550755, 99.56771933792888, 116.2627370648954, 112.1073156987184, 169.75693086058772, 101.52764119021539, 137.55876780978997, 130.87272869095685, 104.60876797754769]","[197.98523204135464, 138.99899540242131, 168.79920964650404, 69.40669077499001, 115.76046313745799, 144.70018901323212, 305.96453687802807, 175.29120407515055, 216.5389183863397, 170.80320190590967, 212.2353169358828, 177.88602841380646, 245.99438293183465, 67.82194292631532, 211.79141785334156, 55.90943415602373, 63.07290772985075, 104.29642763537524, 130.0093514856303, 92.53264380556031, 128.02186961467413, 164.86024959332877, 160.16539304931726, 155.4380536880422, 83.76972830531327, 160.49646305476404, 388.25368593309264, 167.71281792846776, 170.00347339637048, 296.3214474430306, 202.3071328002302, 99.51363939407777, 165.70982842212314, 70.40115459599375, 128.81683448216455, 238.6588713290592, 190.9911812338108, 249.6262576847632, 152.35722706702057, 183.89701463178105, 230.8491877934846, 201.81587744005787]","[173.74469897704193, 292.77310543404803, 56.71505303555774, 126.30686825805886, 226.48813136144707, 99.98518945839315, 80.90395630547673, 114.8785895509147, 76.76941416673196, 165.1502012139261, 164.30827786377333, 125.33878460518204, 176.52387406688885, 149.1731789048943, 206.35709788153292, 216.7225464360816, 172.27140053198343, 146.61265875165316, 57.89088675563081, 109.31490508888123, 152.2816105773072, 95.87911965151606, 145.50239825299158, 166.3777147669155, 171.44484655372062, 131.5532345367356, 84.57493119123016, 67.94553004642789, 255.10504052724957, 151.0895940829747, 145.66544878220165, 148.05069612027975, 141.91351780642606, 113.79019471691295, 87.49481920951087, 115.51569000713641, 160.82753503010147]","[199.75759560588293, 135.66987741590492, 95.20774971112068, 238.09279380706096, 213.78249881219782, 67.05405937859439, 209.9757079550604, 182.6710212793317, 84.15065861590473, 237.763242394242, 229.6387787181932, 267.565681188686, 126.23392270190342, 199.2281791494394, 142.12983804722006, 64.29578161778493, 221.69782429196837, 159.82682950680584, 132.21090038145545, 205.26448271577465, 229.63921664628623, 238.62107890817194, 106.94372192021251, 199.39033952837897, 72.74298157015579, 254.23681346329298, 227.75424445337944, 176.02251472404748, 216.72681334703452, 175.17744118785245, 63.649994129047705]","[150.5955351140999, 179.2244462365189, 97.39377694432254, 153.79727263412587, 150.09464548429924, 285.30222955119524, 193.06788128378767, 288.9058337867897, 177.77287528076445, 81.97465130846068, 218.46632674667384, 221.11903591588543, 132.60550002224966, 154.33673505462542, 190.86453508176203, 224.20146968840945, 194.14866575211482, 196.84549364344193, 134.03949516325136, 197.01651313342703, 255.8909655893598, 230.54567074077693, 130.5962669730326, 144.11654179032033, 147.39341875845136, 149.39767764822727, 171.86194822538192, 279.91156264191744, 217.1975804241814]","[165.2201400145843, 210.18287864024342, 120.9521840959635, 165.99115459150397, 178.9384001477462, 117.20091342437847, 132.8881747400177, 184.40836461685518, 179.28638851855166, 117.51622245317034, 178.76276281390298, 185.9537000999964, 210.78184323533495, 143.14780665920748, 143.58877462235267, 174.67158947848597, 103.85701346546885, 98.88702131168668, 157.76144822474663, 97.1556499942702, 61.82204764777077, 135.61516046356468, 54.786405592599934, 162.4426024733862, 85.13805682011937, 55.02843767799441, 173.43134175969757, 223.54074522725438, 112.78889381690746, 74.24315465512856, 142.80584919229477, 173.3474129649478, 150.71929515851167, 79.22302287476042, 114.58359224425112, 126.00976039819874, 231.8570000511512, 144.57451447459465, 148.78544936090174, 95.22954123383354, 255.0239298393438, 110.84642979984113, 120.99401768818323, 236.38361610593674, 102.70094390512132]","[81.58242427213744, 66.46313516622013, 199.95336944307257, 229.1456921580031, 200.0763555278006, 215.700073440399, 250.37528207187555, 169.98069421828342, 168.9082178950898, 184.2186798082194, 197.46713733581396, 205.66702362229097, 153.0823699522864, 113.01994287637946, 173.12847423118478, 107.49696868489846, 200.77112273595228, 208.67533025098345, 235.7458639194155, 181.43116154969104, 233.46544863106553, 115.50664566839123, 163.6907649188409, 176.74930062654155, 291.41131837935353, 193.27338649268248, 181.66867767943629, 138.4131173518198, 304.53344142529033, 98.82080096640507, 239.86270213718788, 210.42234983211986, 219.98713749019217, 245.43404415527908, 117.63491535781462]",278.38880193335393,251.0943518349415,263.4988357215698,284.4035988687552,255.22267696711796,231.6809772865476,226.85813004269247,216.68104818877566,223.63951592404896,"[128.92615216318802, 32.1159656068769]",116.79797449421602,149.14465156614057,"[140.8971679287751, 146.24382498588818]",120.78887429872461,134.09449385025067,128.9177766574117,125.04421241450241,"[39.145387059629215, 105.77491277927702, 53.863109835725226]"
dNerve_um,2546.924091677267,2019.0831006899302,1615.1166896226846,1025.5346591258096,1838.3739820401397,1964.0189658353256,1864.19101371549,1882.4170241446818,2539.9242270389204,1522.4910816505858,1426.193477792536,2065.3919175889882,2236.5778212535993,1912.6862037101018,1536.4505128573899,1417.2879534148924,1353.332259054631,1622.2038310392234,2045.4089767077953,2193.8801812945426,2025.5474230296668,1965.7967858344218,2613.7348511896575,2214.1066193703323,2348.69817624216,2177.2483260387507,2173.6098979496005,1448.826619936232,1412.8870350844034,1468.2528127286914,1859.0653634622422,1770.1280862649633,1765.632055231091,1731.8855347416902,1674.7984733170017,1614.7752236315089,293.75811657051395,265.4873321562956,275.02022088776863,294.8154974810227,268.8557462349248,243.18842264720536,245.20713260259467,228.0873785598403,236.65094413545614,215.72315387765067,126.85396089312266,154.73480397719217,321.23247394440426,128.24156004932206,146.56921053945464,137.13386043953284,132.3890001103472,219.5877970120584
laterality,L,L,L,L,L,L,L,L,L,A,A,A,A,A,A,A,A,A,L,L,L,L,L,L,L,L,L,A,A,A,A,A,A,A,A,A,L,L,L,L,L,L,L,L,L,A,A,A,A,A,A,A,A,A
level,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A
sex,M,M,M,M,M,F,F,F,F,M,M,M,M,M,F,F,F,F,M,M,M,F,F,F,F,F,F,M,M,M,F,F,F,F,F,F,M,M,M,M,M,F,F,F,F,M,M,M,M,M,F,F,F,F
sub_sam,C50-2,C53-2,C54-3,C55-3,C57-3,C46-2,C47-2,C56-3,C58-3,C54-2,C57-1,C64-1,C69-1,C70-1,C56-1,C58-1,C63-1,C65-1,P11-1,P12-1,P13-1,P5-1,P6-7,P8-7,P9-3,P14-2,P15-2,P11-3,P12-3,P13-3,P4-3,P5-3,P8-1,P10-1,P14-3,P15-3,R16-3,R17-3,R20-3,R23-3,R25-3,R21-3,R22-3,R24-3,R18-1,R16-1,R17-1,R25-1,R23-1,R20-1,R21-1,R26-1,R24-1,R22-1
thkperi_um,"[24.794722747116708, 27.92527295706188, 17.01600695777691, 19.250481376839232, 29.819510334615416, 16.857374703728027, 22.666716881251233, 22.036815326672723]","[23.91547828345668, 15.931285254737446, 29.499231762808847, 19.639302483077216, 19.56353165378988, 29.660137533266663, 12.071514851664844, 22.096890948830804]","[19.700748058232335, 28.26263525939993, 9.645944028684447, 35.742560604270636, 8.299667090214312, 19.362181883861723, 7.129111085788967, 10.315631974591025]","[26.020421901161313, 46.18048430372056, 13.711428380596118, 10.682143489307286, 14.36736806055086, 14.137273958588132, 19.428064503277966, 14.99582922574023, 14.30885643201254, 14.487879821633882, 8.10731948087319, 13.393387105579116, 15.598686216803507]",6.81653463390343,6.505714105703589,"[3.7263428752987267, 4.669721606191388]","[2.3394073608833956, 2.4148193659335533, 3.437696065055391]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
