x,y,x_pix,y_pix,fiber_area,myelin_area,fiber_area_pix,myelin_area_pix,rho,rho_pix,phi,hull_vertices,perimeter,hull_vertices_w_myel,shortest_diameter,longest_diameter,shortest_diameter_w_myel,longest_diameter_w_myel,eff_fib_diam,eff_fib_diam_w_myel,median_myelin_thickness,max_myelin_thickness,myelinated,chat,unmyel_nf,nav,th_overlap_p,c_estimate_nf_frac,c_estimate_nf,c_estimate_nav,c_estimate_nav_frac
23.116,146.849,154.109,978.992,2.677,2.745,119,122,199.363,1329.086,1.252,"[[24.150,147.000],[23.550,147.600],[22.650,147.600],[22.200,147.300],[22.050,147.000],[22.200,146.700],[22.950,145.950],[23.400,145.950],[23.850,146.250]]",5.819,"[[21.300,147.000],[22.650,145.050],[22.950,144.900],[23.100,144.900],[23.400,145.350],[23.850,146.250],[24.150,147.000],[23.250,148.200],[22.800,148.200],[21.750,147.750],[21.450,147.450]]",1.597,1.974,2.335,3.208,1.846,2.628,0.598,1.052,True,False,False,False,0.0,0.0,0,,
17.544,140.216,116.96,934.776,11.745,3.24,522,144,206.785,1378.566,1.23,"[[15.750,139.200],[18.900,138.450],[19.200,138.450],[19.350,138.600],[19.800,139.350],[19.800,140.100],[19.500,140.700],[19.350,140.850],[18.150,141.900],[17.100,141.900],[16.050,141.600],[15.750,141.300],[15.300,140.700],[15.150,140.100],[15.150,139.650],[15.450,139.350]]",12.997,"[[18.000,142.200],[16.050,141.600],[15.750,141.300],[15.300,140.700],[14.700,139.350],[14.700,139.200],[15.150,138.750],[15.600,138.600],[18.900,138.450],[19.200,138.450],[20.850,139.800],[21.000,140.100],[21.000,140.250],[18.600,142.200]]",3.122,4.585,3.536,5.746,3.867,4.368,0.553,1.258,True,False,False,False,0.0,0.0,0,,
20.488,141.79,136.588,945.265,0.765,7.717,34,343,203.485,1356.564,1.232,"[[20.550,142.200],[20.250,142.050],[19.950,141.750],[19.950,141.600],[20.100,141.450],[20.700,141.450],[21.000,141.750],[21.000,142.050],[20.700,142.200]]",2.931,"[[22.500,141.150],[23.250,142.650],[23.250,142.950],[23.100,143.100],[22.200,143.400],[21.900,143.400],[20.850,143.100],[19.650,142.500],[19.200,142.050],[19.200,141.750],[19.350,141.450],[20.100,140.850],[20.550,140.550],[21.150,140.250],[21.300,140.250],[22.050,140.700]]",0.701,1.098,2.338,4.008,0.987,3.282,0.849,2.394,True,False,False,False,0.0,0.0,0,,
16.764,146.991,111.763,979.942,3.128,2.677,139,119,205.36,1369.069,1.262,"[[17.250,145.950],[17.700,145.950],[18.000,146.250],[18.150,146.850],[18.000,147.150],[17.850,147.300],[15.750,148.050],[15.450,147.900],[14.850,147.300],[15.000,147.150]]",8.216,"[[18.300,144.900],[18.600,144.750],[19.350,144.750],[19.500,144.900],[19.950,147.300],[19.350,147.900],[15.750,148.050],[15.450,147.900],[14.850,147.300],[15.000,147.150]]",1.355,3.165,1.964,4.959,1.996,2.719,0.986,4.993,True,False,False,False,0.0,0.0,0,,
21.782,150.088,145.213,1000.586,5.377,12.33,239,548,199.644,1330.96,1.269,"[[20.100,149.400],[20.400,149.100],[21.000,149.100],[22.500,149.250],[23.100,149.700],[23.250,149.850],[23.400,150.150],[23.400,150.450],[22.650,151.200],[22.050,151.200],[21.600,151.050],[21.300,150.900],[20.550,150.450],[20.250,150.150]]",8.663,"[[19.200,148.500],[19.500,147.900],[19.950,147.450],[22.200,148.500],[24.450,149.700],[24.900,150.450],[25.050,151.050],[25.050,151.200],[24.900,151.350],[21.300,153.300],[21.000,153.450],[20.550,153.150],[20.400,153.000],[20.250,152.700],[19.650,150.600],[19.200,148.800]]",1.886,3.288,4.132,6.039,2.617,4.748,1.268,2.45,True,True,False,False,0.0,0.0,0,,
18.168,150.104,121.119,1000.695,1.328,1.35,59,60,203.093,1353.954,1.275,"[[17.700,150.300],[17.400,149.700],[17.550,149.550],[18.000,149.550],[18.600,149.850],[18.900,150.150],[18.900,150.450],[18.750,150.600],[18.000,150.600]]",4.114,"[[17.250,149.400],[19.050,148.650],[19.200,148.950],[19.500,150.000],[19.650,150.750],[19.650,150.900],[18.000,150.600],[17.700,150.300]]",0.906,1.618,1.587,2.368,1.3,1.846,0.518,2.138,True,False,False,False,0.0,0.0,0,,
10.603,156.572,70.688,1043.812,0.36,1.057,16,47,208.609,1390.725,1.315,"[[10.200,156.900],[10.200,156.600],[10.500,156.450],[10.950,156.300],[11.100,156.300],[10.950,156.600]]",2.403,"[[8.850,158.400],[10.200,156.600],[10.500,156.450],[10.950,156.300],[11.100,156.300],[11.850,157.800],[10.650,158.100],[9.300,158.400]]",0.304,0.965,0.973,2.482,0.677,1.343,1.308,2.059,True,False,False,False,0.0,0.0,0,,
12.655,149.384,84.366,995.897,3.262,0.18,145,8,208.578,1390.52,1.279,"[[13.950,149.700],[13.650,150.000],[13.350,150.150],[12.750,150.150],[12.150,150.000],[11.850,149.850],[11.700,149.700],[11.400,149.250],[11.400,148.950],[11.700,148.650],[12.000,148.500],[13.050,148.800],[13.500,148.950],[13.950,149.400]]",6.629,"[[13.950,148.800],[13.950,149.700],[13.650,150.000],[13.350,150.150],[12.750,150.150],[12.150,150.000],[11.850,149.850],[11.700,149.700],[11.400,149.250],[11.400,148.950],[11.700,148.650],[12.000,148.500]]",1.396,2.581,1.502,2.581,2.038,2.094,0.0,0.0,True,True,False,False,0.0,0.0,0,,
14.689,161.923,97.929,1079.486,32.828,14.062,1459,625,203.343,1355.618,1.335,"[[9.900,160.350],[10.800,159.450],[13.350,158.850],[13.800,158.850],[14.700,159.150],[19.350,161.850],[19.500,162.150],[19.500,162.300],[19.200,163.200],[18.300,164.100],[17.400,164.700],[16.800,165.000],[16.650,165.000],[15.900,164.850],[14.100,164.100],[11.700,162.600],[11.100,162.150],[10.950,162.000],[9.900,160.800]]",23.829,"[[16.200,166.650],[10.800,163.650],[8.400,161.400],[8.250,160.650],[8.250,160.500],[8.550,159.000],[8.700,158.550],[9.150,158.400],[12.000,157.800],[14.700,159.150],[19.350,161.850],[19.500,162.150],[19.500,162.300],[19.200,163.200],[16.800,166.650]]",4.581,9.384,5.825,11.269,6.465,7.577,2.294,4.819,True,True,False,False,0.0,0.0,0,,
8.798,167.08,58.655,1113.866,4.365,9.675,194,430,207.965,1386.434,1.366,"[[9.600,168.450],[7.200,167.250],[7.050,167.100],[6.900,166.800],[6.900,166.650],[7.050,166.350],[7.350,166.050],[8.400,166.050],[9.000,166.350],[10.050,166.950],[10.350,167.250],[10.350,168.150],[10.050,168.450]]",9.269,"[[8.850,169.800],[7.950,169.650],[6.750,166.950],[6.450,166.050],[6.450,165.750],[7.200,165.000],[7.950,165.000],[9.300,165.300],[9.450,165.450],[10.350,167.250],[10.350,168.150],[9.750,169.350],[9.300,169.650]]",1.609,3.59,3.144,4.669,2.357,4.052,0.814,1.802,True,True,False,False,0.0,0.0,0,,
