x,y,x_pix,y_pix,fiber_area,myelin_area,fiber_area_pix,myelin_area_pix,rho,rho_pix,phi,hull_vertices,perimeter,hull_vertices_w_myel,shortest_diameter,longest_diameter,shortest_diameter_w_myel,longest_diameter_w_myel,eff_fib_diam,eff_fib_diam_w_myel,median_myelin_thickness,max_myelin_thickness,myelinated,chat,unmyel_nf,nav,th_overlap_p,c_estimate_nf_frac,c_estimate_nf,c_estimate_nav,c_estimate_nav_frac
75.492,111.908,503.28,746.055,7.312,12.375,325,550,168.084,1120.557,0.952,"[[76.950,115.800],[72.450,111.300],[72.750,110.850],[73.350,110.400],[73.800,110.400],[74.400,110.550],[79.500,112.350],[79.200,113.550],[77.100,115.800]]",18.596,"[[72.750,109.650],[76.800,108.450],[76.950,108.450],[77.550,108.750],[79.500,112.350],[79.200,113.550],[77.250,115.950],[76.050,116.100],[72.600,115.050],[72.150,114.750],[71.850,114.450],[71.850,112.500],[72.000,111.450]]",2.711,6.986,7.127,7.765,3.051,4.984,1.648,2.825,True,True,False,False,0.0,0.0,0,,
79.753,124.947,531.688,832.979,2.16,10.35,96,460,157.261,1048.406,1.004,"[[80.400,125.100],[81.000,125.850],[80.850,126.000],[80.400,126.000],[79.050,124.950],[78.750,124.500],[78.750,124.050],[79.050,123.900],[79.350,123.900],[79.500,124.050]]",6.554,"[[77.850,125.100],[79.200,122.550],[79.950,122.250],[80.100,122.250],[80.550,122.400],[81.450,124.650],[81.600,125.100],[81.900,126.150],[81.900,126.750],[81.750,126.900],[80.400,126.900],[79.500,126.750],[78.900,126.600],[77.850,125.550]]",0.834,2.738,3.546,4.497,1.658,3.841,1.307,2.199,True,True,False,False,0.0,0.0,0,,
81.317,135.41,542.114,902.732,7.312,16.02,325,712,150.535,1003.564,1.057,"[[79.350,134.850],[79.950,134.250],[80.700,134.100],[80.850,134.100],[82.050,134.400],[82.500,134.850],[82.950,135.450],[83.250,136.050],[83.250,136.500],[82.350,136.650],[81.600,136.650],[81.000,136.500],[79.650,135.600],[79.350,135.300]]",10.285,"[[81.000,131.850],[83.850,136.350],[83.850,136.650],[83.700,137.700],[83.550,137.850],[81.900,139.050],[81.300,139.050],[79.350,138.900],[78.000,138.300],[77.850,138.150],[77.700,136.200],[77.700,135.000],[77.850,133.200],[78.000,132.300],[78.750,131.550],[79.800,131.250],[80.550,131.550],[80.850,131.700]]",2.284,4.031,5.461,7.857,3.051,5.44,1.895,3.278,True,True,False,False,0.0,0.0,0,,
74.754,133.96,498.362,893.065,4.162,21.757,185,967,156.975,1046.499,1.069,"[[73.050,132.900],[73.050,132.750],[73.350,132.600],[74.100,132.600],[74.400,132.750],[75.600,133.800],[75.900,134.250],[76.200,134.850],[76.200,135.000],[76.050,135.300],[75.300,136.050],[75.150,136.050]]",9.859,"[[73.350,131.250],[77.850,132.300],[77.850,133.050],[77.700,136.650],[76.650,136.800],[75.450,136.800],[75.150,136.650],[74.700,136.200],[73.800,135.150],[72.150,133.200],[71.550,132.000],[71.550,131.550],[71.850,131.400],[72.450,131.250]]",1.527,3.795,4.034,7.552,2.302,5.263,1.607,4.256,True,True,False,False,0.0,0.0,0,,
75.003,130.132,500.018,867.545,1.238,11.497,55,511,158.635,1057.565,1.048,"[[74.100,130.050],[74.400,129.600],[74.550,129.600],[75.150,129.750],[75.600,130.050],[75.900,130.350],[75.900,130.500],[74.850,130.500],[74.250,130.200]]",4.357,"[[74.100,128.100],[74.250,127.950],[75.900,128.850],[76.650,129.450],[78.450,130.950],[78.600,131.100],[78.750,131.400],[78.000,132.150],[77.400,132.300],[76.350,132.150],[73.500,131.250],[73.200,131.100],[73.050,130.950],[73.350,130.050]]",0.784,1.735,3.103,5.322,1.255,3.874,1.281,2.958,True,True,False,False,0.0,0.0,0,,
72.489,136.356,483.257,909.039,12.15,19.485,540,866,157.842,1052.282,1.09,"[[69.900,134.700],[70.200,134.100],[70.650,133.650],[70.950,133.500],[72.300,134.400],[72.900,135.000],[74.100,136.350],[74.550,136.950],[74.700,137.250],[74.700,138.450],[74.400,138.600],[73.350,138.900],[73.050,138.900],[72.450,138.600],[72.000,138.150],[70.200,135.300]]",15.282,"[[72.450,142.350],[68.850,134.550],[70.650,132.000],[70.950,131.700],[71.400,131.700],[77.700,138.000],[77.850,138.300],[77.700,138.450],[76.800,139.200]]",2.6,6.129,5.17,9.809,3.933,6.182,1.519,3.703,True,True,False,False,0.0,0.0,0,,
77.719,142.762,518.13,951.744,5.715,40.005,254,1778,150.276,1001.841,1.111,"[[76.950,143.400],[76.050,142.050],[76.200,141.750],[76.650,141.450],[77.850,141.450],[78.300,141.750],[78.600,142.050],[78.900,142.950],[78.900,143.700],[78.750,144.150],[78.450,144.450],[78.300,144.450],[78.000,144.300],[77.550,144.000]]",9.136,"[[72.450,143.100],[72.450,142.500],[73.350,141.600],[74.400,140.700],[77.550,138.600],[78.150,138.300],[79.050,138.750],[79.500,139.050],[79.650,139.200],[80.550,140.250],[80.550,141.300],[79.950,144.900],[79.800,145.350],[79.650,145.500],[77.700,146.550],[77.250,146.700],[77.100,146.700],[76.350,146.550],[76.050,146.400],[75.000,145.800],[74.850,145.650]]",2.082,3.318,6.672,8.301,2.698,7.335,2.559,6.387,True,True,False,False,0.0,0.0,0,,
75.706,171.841,504.708,1145.604,1.08,3.488,48,155,141.771,945.143,1.303,"[[75.900,171.450],[76.800,172.050],[76.050,172.200],[75.450,172.200],[75.150,172.050],[75.000,171.750],[75.000,171.600],[75.150,171.450]]",4.229,"[[73.200,171.600],[73.200,171.300],[75.150,171.150],[75.300,171.150],[76.800,171.600],[76.950,171.750],[77.100,172.050],[77.100,172.350],[76.950,172.500],[75.450,172.950],[75.000,172.950],[74.100,172.350]]",0.753,1.632,1.604,3.733,1.173,2.412,0.603,1.828,True,True,False,False,0.0,0.0,0,,
74.662,177.102,497.748,1180.68,2.318,7.875,103,350,141.485,943.237,1.34,"[[73.350,176.700],[73.650,176.250],[74.250,176.250],[74.700,176.550],[75.450,177.150],[75.600,177.300],[75.900,177.750],[75.900,178.050],[75.450,178.050],[73.650,177.000]]",6.653,"[[76.800,178.500],[74.850,178.500],[73.500,178.200],[73.050,177.750],[72.750,177.300],[72.600,176.550],[72.600,175.800],[72.750,175.650],[74.100,175.500],[76.950,175.950],[77.100,176.100],[77.250,177.000],[77.250,177.150],[77.100,178.050],[76.950,178.350]]",0.882,2.77,2.831,4.865,1.718,3.473,1.006,2.081,True,True,False,False,0.0,0.0,0,,
73.574,174.126,490.494,1160.84,3.51,7.988,156,355,143.249,954.992,1.322,"[[75.000,174.150],[75.300,175.050],[73.050,174.600],[72.150,174.150],[71.850,173.850],[71.850,173.550],[73.350,173.400],[73.650,173.400],[74.100,173.550]]",8.337,"[[71.100,173.700],[71.400,173.100],[71.850,172.650],[73.050,171.600],[73.350,171.750],[74.700,172.800],[77.250,175.350],[77.250,175.800],[77.100,175.950],[76.350,175.950],[72.450,175.650],[71.700,175.350],[71.250,175.050],[71.100,174.300]]",1.288,3.349,3.51,6.144,2.114,3.811,1.186,2.195,True,True,False,False,0.0,0.0,0,,
77.689,184.394,517.926,1229.295,2.745,5.085,122,226,137.024,913.492,1.387,"[[79.350,184.950],[79.350,185.100],[78.150,185.100],[76.800,184.500],[76.200,184.200],[76.050,183.900],[76.200,183.600],[77.400,183.750],[78.150,184.050],[79.200,184.500]]",7.803,"[[75.750,184.050],[76.200,183.600],[78.450,182.250],[78.750,182.250],[79.650,185.100],[79.650,185.700],[79.500,186.150],[79.350,186.300],[79.200,186.300],[76.950,185.400],[76.350,185.100]]",0.953,3.349,2.981,3.965,1.87,3.056,0.831,1.874,True,True,False,False,0.0,0.0,0,,
80.172,178.257,534.482,1188.377,7.335,20.678,326,919,135.857,905.716,1.339,"[[81.750,178.050],[81.750,178.800],[81.450,179.250],[81.000,179.700],[80.100,179.700],[78.750,178.800],[78.450,178.200],[78.600,177.750],[78.750,177.450],[79.050,177.000],[79.650,176.850],[80.400,176.850],[80.700,177.000]]",9.66,"[[80.250,175.800],[81.300,176.100],[82.500,177.450],[82.800,177.900],[82.950,178.200],[83.400,179.700],[83.400,179.850],[83.250,180.600],[81.600,181.950],[81.450,181.950],[79.800,181.650],[79.200,181.350],[78.900,181.050],[77.550,178.800],[77.400,178.500],[77.250,177.900],[77.250,175.950],[77.400,175.800]]",2.525,3.285,4.845,7.305,3.056,5.826,1.297,2.394,True,True,False,False,0.0,0.0,0,,
75.701,179.935,504.671,1199.57,3.555,11.542,158,513,139.85,932.335,1.358,"[[75.900,179.250],[77.100,179.850],[77.100,180.600],[76.500,180.750],[75.450,180.600],[74.250,180.000],[74.250,179.400],[74.550,179.250]]",7.398,"[[75.750,181.500],[74.100,181.200],[73.500,180.600],[73.050,179.700],[73.050,179.250],[74.400,178.500],[74.700,178.500],[76.500,178.650],[77.550,178.950],[77.700,179.100],[78.150,179.700],[78.450,180.150],[78.750,180.750],[78.750,180.900],[77.550,181.500]]",1.388,2.965,2.896,5.595,2.128,3.955,0.965,1.708,True,True,False,False,0.0,0.0,0,,
78.528,189.367,523.519,1262.444,0.607,1.688,27,75,135.374,902.495,1.422,"[[78.000,189.150],[78.000,189.000],[78.150,188.850],[78.600,189.150],[79.200,189.600],[79.050,189.750],[78.750,189.750],[78.450,189.600]]",3.137,"[[76.950,189.300],[79.650,187.950],[79.800,187.950],[80.100,188.100],[80.400,188.850],[80.400,189.300],[77.850,190.800],[76.950,189.450]]",0.44,1.268,1.665,3.378,0.879,1.709,0.86,2.222,True,False,False,False,0.0,0.0,0,,
77.545,187.659,516.969,1251.062,0.72,4.477,32,199,136.607,910.716,1.411,"[[77.100,187.200],[77.400,187.200],[77.700,187.350],[78.000,187.800],[78.000,188.100],[77.550,188.100],[77.250,187.800],[77.100,187.500]]",2.986,"[[75.300,187.650],[75.150,187.350],[75.300,186.900],[75.750,186.300],[76.200,186.000],[76.350,186.000],[79.050,186.750],[79.200,186.900],[79.500,187.350],[79.650,187.650],[79.650,187.800],[79.350,188.100],[79.050,188.250],[76.650,189.000]]",0.614,1.175,2.399,4.337,0.957,2.572,1.212,1.989,True,False,False,False,0.0,0.0,0,,
80.779,196.582,538.525,1310.548,25.178,23.445,1119,1042,132.255,881.702,1.474,"[[84.000,198.750],[81.750,199.200],[81.600,199.200],[80.550,198.750],[79.200,198.150],[78.450,197.700],[78.150,197.400],[76.650,194.400],[76.650,194.100],[76.950,193.950],[77.700,193.950],[81.300,194.400],[82.650,195.450],[84.150,196.650],[84.450,197.100],[84.600,197.400],[84.600,197.850],[84.450,198.450]]",20.847,"[[75.900,193.950],[77.700,192.150],[82.050,193.650],[83.250,194.250],[84.000,195.300],[84.750,196.800],[84.750,198.300],[82.350,201.900],[80.700,202.650],[80.100,202.650],[79.800,202.350],[77.250,199.500],[75.900,194.100]]",4.164,8.428,7.646,9.766,5.662,7.637,1.249,3.899,True,True,False,False,0.0,0.0,0,,
75.647,190.211,504.315,1268.074,1.215,12.802,54,569,138.104,920.693,1.431,"[[74.850,189.600],[75.000,189.450],[75.300,189.600],[76.200,190.200],[76.500,190.650],[76.500,190.800],[75.900,190.800],[75.450,190.500],[74.850,189.900]]",4.609,"[[73.500,189.900],[74.400,187.650],[74.700,187.500],[75.150,187.500],[75.450,187.800],[76.800,189.300],[77.250,189.900],[77.550,190.350],[77.700,190.650],[77.850,191.400],[77.850,191.550],[77.700,192.000],[77.550,192.150],[75.600,192.150],[74.100,191.100],[73.500,190.350]]",0.665,1.91,3.115,4.957,1.244,4.104,1.432,2.334,True,True,False,False,0.0,0.0,0,,
80.267,191.119,535.11,1274.128,2.452,3.42,109,152,133.403,889.357,1.433,"[[79.200,190.500],[79.350,190.050],[81.000,190.950],[81.450,191.250],[81.450,191.700],[81.300,192.000],[81.150,192.000],[79.500,191.400],[79.350,191.250],[79.200,190.950]]",6.583,"[[81.300,192.000],[78.900,192.600],[78.450,192.450],[77.850,192.150],[77.850,190.950],[78.150,190.500],[80.550,189.000],[80.850,189.000],[81.450,189.150],[81.750,189.300],[81.450,191.700]]",1.033,2.593,2.796,4.053,1.767,2.734,1.062,2.82,True,False,False,False,0.0,0.0,0,,
75.43,196.607,502.87,1310.714,3.622,5.738,161,255,137.577,917.18,1.478,"[[74.100,195.900],[74.250,195.750],[75.750,195.450],[76.050,195.750],[76.500,196.500],[76.500,197.100],[76.200,197.550],[75.750,197.700],[75.300,197.550],[74.850,197.250],[74.550,196.950],[74.250,196.500],[74.100,196.050]]",7.261,"[[76.650,199.500],[75.900,199.200],[74.550,198.150],[72.750,196.650],[74.250,195.750],[75.750,195.450],[76.050,195.750],[77.250,197.100],[77.250,197.250],[77.100,199.500]]",1.861,2.635,2.802,4.207,2.148,3.436,0.944,2.178,True,False,False,False,0.0,0.0,0,,
73.956,200.329,493.04,1335.526,7.358,27.495,327,1222,138.752,925.014,1.505,"[[72.450,198.450],[72.750,198.150],[73.200,198.150],[74.400,199.350],[76.050,201.450],[76.200,201.750],[75.900,202.050],[75.600,202.200],[75.150,202.200],[74.250,201.900],[73.650,201.600],[73.050,200.850],[72.600,199.800],[72.450,199.350]]",11.884,"[[71.250,199.800],[71.250,198.000],[71.550,196.950],[72.000,196.650],[72.600,196.650],[73.200,196.950],[77.550,199.800],[78.300,200.400],[78.750,200.850],[79.200,201.450],[79.500,201.900],[79.650,202.200],[79.650,202.500],[79.200,202.650],[77.250,203.100],[75.600,203.400],[74.400,203.250],[72.300,202.950],[71.550,202.650],[71.400,202.500]]",1.996,4.689,5.391,8.517,3.061,6.503,1.572,4.251,True,True,False,False,0.0,0.0,0,,
72.246,205.367,481.639,1369.111,0.81,9.765,36,434,140.223,934.822,1.542,"[[71.700,205.350],[72.000,205.050],[72.300,204.900],[72.450,204.900],[72.600,205.050],[72.750,205.350],[72.600,205.650],[72.450,205.800],[72.150,205.800],[71.700,205.500]]",2.996,"[[71.700,206.850],[70.650,205.800],[69.900,204.600],[69.450,203.700],[71.250,202.650],[71.400,202.650],[71.850,202.800],[72.450,203.100],[72.900,203.850],[73.950,205.800],[73.500,206.250],[73.200,206.400],[71.850,206.850]]",0.85,1.036,2.773,4.576,1.016,3.63,1.352,3.63,True,True,False,False,0.0,0.0,0,,
76.677,205.235,511.179,1368.231,1.755,6.682,78,297,135.798,905.321,1.54,"[[77.700,205.650],[77.700,205.800],[77.250,205.950],[77.100,205.950],[76.650,205.800],[75.750,204.900],[75.750,204.600],[75.900,204.450],[76.500,204.600],[76.800,204.750]]",5.26,"[[75.450,205.050],[75.450,203.400],[75.900,203.250],[79.500,202.500],[79.800,202.500],[80.100,202.800],[80.100,203.250],[79.950,204.000],[79.800,204.600],[79.650,204.900],[77.850,206.250],[77.100,206.400],[76.800,206.400],[76.350,206.250],[75.750,205.650]]",0.852,2.17,3.084,5.013,1.495,3.278,0.568,3.742,True,True,False,False,0.0,0.0,0,,
74.067,208.122,493.78,1387.477,2.97,9.247,132,411,138.35,922.333,1.562,"[[75.300,208.500],[75.300,208.950],[74.850,208.950],[74.250,208.800],[73.500,208.500],[72.900,208.200],[72.600,207.900],[72.600,207.750],[73.050,207.450],[74.250,207.450],[74.850,207.750],[75.000,207.900]]",6.866,"[[72.300,208.500],[71.550,207.150],[71.700,207.000],[72.000,206.850],[73.650,206.250],[75.000,206.550],[75.150,206.700],[76.650,208.500],[76.650,208.800],[75.600,209.850],[75.150,210.000],[74.100,210.000],[73.650,209.700],[72.600,208.800]]",1.25,2.69,3.236,5.073,1.945,3.807,1.095,1.46,True,True,False,False,0.0,0.0,0,,
81.354,209.208,542.361,1394.72,17.82,3.87,792,172,131.057,873.714,1.569,"[[77.400,207.000],[77.550,206.850],[81.000,206.850],[82.950,208.050],[83.400,208.650],[84.150,209.850],[84.150,210.450],[83.700,211.200],[82.950,212.100],[82.650,212.100],[81.900,211.650],[80.250,210.300],[79.650,209.700],[77.850,207.600]]",18.434,"[[76.950,208.500],[77.100,206.550],[79.950,204.150],[83.400,207.600],[84.150,208.800],[85.200,211.800],[85.200,212.100],[82.650,212.100],[81.900,211.800],[76.950,208.650]]",3.388,7.044,4.522,9.255,4.763,5.255,0.674,2.726,True,False,False,False,0.0,0.0,0,,
77.494,210.685,516.627,1404.569,1.148,1.822,51,81,134.923,899.487,-1.561,"[[78.300,211.050],[78.300,211.350],[78.150,211.350],[77.700,211.200],[77.250,210.900],[76.650,210.300],[76.650,210.150],[77.400,210.150]]",4.486,"[[77.100,208.800],[78.300,211.050],[78.300,211.350],[77.250,211.800],[76.800,211.800],[76.650,211.650],[76.500,211.350],[75.900,209.700],[76.800,208.650]]",0.632,1.884,1.713,2.959,1.209,1.945,0.788,2.041,True,False,False,False,0.0,0.0,0,,
72.514,212.695,483.425,1417.968,6.412,9.81,285,436,139.936,932.908,-1.547,"[[72.300,213.600],[71.400,213.300],[70.500,212.400],[70.500,211.950],[70.650,211.800],[71.700,211.650],[72.450,211.650],[73.200,211.950],[73.800,212.250],[74.400,212.850],[74.550,213.300],[74.400,213.600],[73.800,213.750],[73.050,213.750]]",9.964,"[[72.600,214.500],[71.100,214.050],[70.800,213.750],[70.350,213.150],[69.450,211.650],[69.600,211.200],[70.050,210.750],[73.350,211.200],[75.000,211.800],[75.300,212.250],[75.450,212.850],[75.450,213.150],[75.150,214.050],[74.700,214.500]]",1.881,4.169,3.325,6.158,2.857,4.452,0.835,1.484,True,True,False,False,0.0,0.0,0,,
74.126,215.453,494.176,1436.353,0.382,1.328,17,59,138.417,922.779,-1.527,"[[73.650,215.250],[74.100,215.250],[74.400,215.400],[74.550,215.550],[74.550,215.700],[74.250,215.700],[73.650,215.400]]",2.268,"[[71.400,218.550],[73.050,214.650],[73.650,214.500],[74.550,214.500],[74.850,214.800],[75.000,215.100],[75.000,215.250],[72.600,218.700],[71.400,218.700]]",0.337,0.939,1.748,4.845,0.698,1.476,0.826,4.068,True,False,False,False,0.0,0.0,0,,
76.617,217.248,510.783,1448.319,1.552,6.3,69,280,136.02,906.801,-1.513,"[[77.400,217.350],[77.400,217.800],[76.650,217.800],[76.350,217.650],[75.900,217.200],[75.750,216.900],[76.050,216.600],[76.350,216.600],[76.950,216.900]]",4.539,"[[73.050,218.700],[75.600,216.300],[76.050,216.000],[76.950,216.000],[77.400,216.150],[78.000,217.050],[78.450,218.250],[78.450,218.700],[75.750,220.200],[75.600,220.200],[73.200,218.850]]",0.943,1.785,3.334,4.82,1.406,3.162,1.689,4.289,True,False,False,False,0.0,0.0,0,,
80.235,216.272,534.902,1441.811,9.855,7.695,438,342,132.354,882.361,-1.519,"[[78.300,215.700],[78.450,215.250],[78.750,214.800],[79.050,214.500],[79.200,214.500],[80.100,214.650],[80.400,214.800],[81.450,215.400],[82.050,216.150],[82.350,216.600],[82.350,216.900],[81.750,217.800],[80.100,217.800],[79.200,217.350],[78.750,216.900],[78.450,216.450],[78.300,216.150]]",11.548,"[[78.600,218.550],[77.400,216.000],[77.550,215.100],[77.700,214.950],[78.750,214.200],[79.200,214.050],[79.350,214.050],[82.200,215.400],[82.350,215.550],[83.100,217.350],[83.100,217.500],[82.650,218.550],[82.200,218.700],[79.650,218.700]]",2.801,4.19,4.168,5.929,3.542,4.727,0.812,1.345,True,False,False,False,0.0,0.0,0,,
76.018,243.193,506.789,1621.284,5.872,20.7,261,920,140.516,936.772,-1.328,"[[74.550,242.850],[75.450,241.950],[75.600,241.950],[77.100,242.400],[77.700,243.000],[77.850,243.450],[77.850,243.600],[77.700,243.900],[75.900,244.200],[75.150,244.200],[74.700,243.900],[74.250,243.450],[74.250,243.300]]",9.24,"[[73.950,243.300],[73.500,240.750],[74.100,240.600],[74.850,240.450],[75.450,240.450],[76.200,240.600],[76.800,240.750],[79.500,244.200],[79.650,244.650],[79.650,244.950],[79.500,246.000],[79.200,247.050],[78.750,247.500],[75.900,249.600]]",2.103,3.427,4.219,8.536,2.734,5.464,1.489,5.332,True,True,False,False,0.0,0.0,0,,
79.16,235.532,527.733,1570.216,2.61,3.352,116,149,135.789,905.259,-1.377,"[[78.600,234.900],[79.350,234.900],[80.100,235.200],[80.250,235.350],[80.400,235.650],[80.400,235.800],[79.800,236.100],[78.600,236.100],[78.300,235.950],[78.150,235.800],[78.000,235.500],[78.000,235.350],[78.300,235.050]]",5.919,"[[80.100,236.700],[77.550,236.700],[77.400,236.550],[76.500,235.350],[76.350,234.900],[76.350,234.750],[79.350,234.900],[80.100,235.050],[80.850,235.650],[81.000,235.800],[81.000,235.950],[80.400,236.550]]",1.205,2.361,1.817,4.532,1.823,2.66,0.606,1.813,True,True,False,False,0.0,0.0,0,,
81.079,238.081,540.525,1587.209,3.128,3.015,139,134,134.427,896.18,-1.356,"[[81.750,238.800],[81.150,238.800],[80.250,238.650],[79.950,238.500],[79.950,237.750],[80.250,237.450],[80.700,237.300],[81.000,237.300],[81.750,237.450],[82.200,237.900],[82.350,238.200],[82.200,238.500]]",6.409,"[[80.250,237.450],[80.850,237.150],[81.300,237.150],[83.250,238.200],[83.400,238.350],[82.950,239.400],[82.650,239.700],[80.400,239.850],[80.250,239.850],[79.800,239.700],[79.050,239.400],[78.900,239.250],[78.900,238.650],[79.050,238.500]]",1.454,2.385,2.666,3.607,1.996,2.781,0.528,1.397,True,True,False,False,0.0,0.0,0,,
75.556,237.833,503.705,1585.556,6.03,41.985,268,1866,139.777,931.848,-1.366,"[[76.800,237.600],[77.100,238.350],[77.100,238.500],[76.800,239.100],[76.050,239.100],[74.850,238.800],[74.550,238.500],[74.250,238.050],[74.100,237.600],[74.100,237.150],[74.250,236.850],[74.550,236.550],[75.300,236.550],[76.200,236.850],[76.500,237.150]]",8.928,"[[76.800,240.600],[73.350,240.600],[72.900,240.450],[71.550,239.250],[71.100,238.800],[69.900,235.350],[69.900,234.300],[70.200,233.550],[70.350,233.400],[70.650,233.250],[71.850,232.950],[72.900,233.100],[73.950,233.550],[75.900,234.450],[76.200,234.750],[77.250,236.400],[77.400,236.700],[77.700,237.900],[78.000,239.700],[77.850,240.000],[77.250,240.450]]",2.257,3.336,5.698,9.701,2.771,7.535,1.792,5.217,True,True,False,False,0.0,0.0,0,,
79.006,257.14,526.71,1714.264,12.712,11.362,565,505,141.688,944.588,-1.227,"[[76.800,256.800],[76.800,255.750],[77.100,255.450],[77.850,255.300],[78.000,255.300],[79.200,255.450],[80.400,256.050],[81.000,256.650],[81.300,257.250],[81.300,257.700],[80.850,258.300],[80.100,259.200],[79.800,259.350],[79.650,259.350],[79.350,259.200],[77.550,258.000],[77.250,257.700]]",13.246,"[[81.750,257.100],[81.750,258.600],[81.000,259.500],[80.850,259.650],[80.400,259.800],[79.800,259.800],[79.350,259.500],[77.550,258.000],[77.250,257.700],[76.800,256.800],[76.350,254.400],[75.900,251.250],[75.900,250.950],[76.050,250.800],[76.350,250.800],[76.800,250.950],[77.100,251.100],[79.800,252.900],[79.950,253.200]]",3.14,4.722,4.216,9.222,4.023,5.534,0.75,9.328,True,False,False,False,0.0,0.0,0,,
78.63,271.684,524.197,1811.23,6.165,4.522,274,201,147.569,983.79,-1.135,"[[79.800,271.200],[79.950,272.250],[79.950,273.000],[78.600,273.000],[78.300,272.850],[77.850,272.550],[77.250,271.950],[77.250,271.500],[77.550,270.750],[77.850,270.150],[78.150,270.000],[78.300,270.000],[78.600,270.150],[79.650,271.050]]",9.23,"[[79.950,272.250],[79.950,273.000],[79.050,273.600],[78.000,273.750],[77.550,273.450],[76.350,272.100],[75.900,271.500],[75.900,271.350],[77.850,270.150],[78.150,270.000],[78.300,270.000],[78.600,270.150],[79.650,271.050],[79.800,271.200]]",2.309,3.2,3.145,3.851,2.802,3.431,1.394,3.352,True,True,False,False,0.0,0.0,0,,
78.967,278.36,526.445,1855.736,4.95,7.897,220,351,150.208,1001.388,-1.094,"[[78.600,277.050],[80.100,278.250],[80.550,278.700],[80.550,279.000],[80.400,279.450],[80.250,279.600],[79.950,279.600],[79.050,279.300],[78.300,279.000],[77.850,278.700],[77.550,278.400],[77.550,277.500],[77.700,277.350],[78.300,277.050]]",8.648,"[[80.700,280.200],[80.550,280.350],[79.800,280.200],[79.350,280.050],[78.150,279.300],[77.100,277.800],[76.500,276.450],[77.700,275.850],[78.300,275.850],[79.200,276.000],[79.800,276.150],[81.300,278.550],[81.450,278.850],[81.300,279.150]]",1.66,3.383,3.101,5.446,2.51,3.893,0.864,1.521,True,True,False,False,0.0,0.0,0,,
76.099,273.729,507.325,1824.862,1.8,8.37,80,372,150.728,1004.853,-1.13,"[[76.050,273.000],[76.800,273.750],[76.800,274.800],[76.350,274.800],[75.150,273.450],[75.150,273.000],[75.450,272.850],[75.600,272.850]]",5.777,"[[77.850,273.750],[77.850,275.700],[76.650,276.300],[76.350,276.300],[75.600,275.700],[75.300,275.250],[75.150,274.950],[74.850,273.300],[74.850,272.400],[75.150,271.800],[75.450,271.500],[75.750,271.500],[76.500,272.250]]",1.01,2.222,2.55,4.838,1.514,3.554,0.982,1.68,True,True,False,False,0.0,0.0,0,,
72.154,277.739,481.028,1851.596,28.462,6.502,1265,289,156.019,1040.124,-1.117,"[[69.600,279.900],[69.600,274.650],[70.950,274.050],[71.250,274.050],[72.600,274.650],[73.800,275.550],[74.700,276.450],[74.850,276.750],[75.000,279.000],[74.400,279.900],[74.100,280.200],[73.650,280.500],[72.150,280.950],[71.100,280.950],[70.500,280.800],[70.050,280.500],[69.750,280.200]]",20.45,"[[76.350,276.450],[74.250,282.450],[73.950,282.900],[73.050,283.350],[72.450,283.200],[72.150,283.050],[69.600,281.700],[68.250,278.550],[68.250,278.250],[69.150,275.550],[69.450,274.800],[69.600,274.650],[70.950,274.050],[71.250,274.050],[75.150,275.100]]",5.338,7.036,7.107,9.299,6.02,6.672,0.915,2.558,True,True,False,False,0.0,0.0,0,,
76.968,292.514,513.122,1950.096,7.717,2.812,343,125,158.909,1059.396,-1.02,"[[75.600,290.850],[77.400,291.150],[79.500,293.100],[79.800,293.400],[79.800,293.850],[75.600,294.150],[75.150,294.150],[75.450,290.850]]",13.689,"[[75.000,294.300],[75.450,290.250],[75.900,290.250],[77.250,290.550],[79.800,293.400],[79.800,293.850],[75.300,294.900],[75.000,294.750]]",2.987,4.643,3.612,4.791,3.135,3.662,0.258,1.369,True,False,False,False,0.0,0.0,0,,
73.581,292.457,490.54,1949.711,14.468,18.068,643,803,161.777,1078.511,-1.032,"[[71.400,290.400],[71.400,290.250],[71.850,289.950],[72.600,289.950],[74.250,290.250],[75.000,290.700],[75.300,291.000],[75.300,291.600],[75.150,293.850],[74.400,295.350],[73.800,295.350],[73.050,295.050],[72.450,294.750],[72.150,294.450],[72.000,294.150]]",15.585,"[[71.250,295.050],[70.800,294.600],[70.200,292.650],[70.050,291.900],[69.900,288.600],[69.900,288.450],[70.050,288.300],[70.500,288.150],[71.400,288.150],[72.300,288.300],[74.850,289.650],[75.300,290.100],[75.300,291.600],[75.150,295.350],[75.000,295.800],[74.850,296.100],[74.400,296.700],[73.800,296.400]]",3.526,5.409,5.057,8.237,4.292,6.401,0.95,2.376,True,True,False,False,0.0,0.0,0,,
